Plugin Name,Version

workflow-cps,2.70
ldap,1.20
workflow-scm-step,2.9
jsch,0.1.55
authentication-tokens,1.3
jdk-tool,1.2
pipeline-input-step,2.10
mapdb-api,1.0.9.0
matrix-auth,2.4.2
display-url-api,2.3.1
ssh-slaves,1.30.0
pipeline-model-declarative-agent,1.1.1
gradle,1.32
pipeline-model-definition,1.3.9
sonar,2.9
cloudbees-folder,6.9
workflow-aggregator,2.6
bouncycastle-api,2.17
workflow-api,2.35
ant,1.9
resource-disposer,0.12
ws-cleanup,0.37
email-ext,2.63
active-directory,2.16
durable-task,1.29
pipeline-stage-view,2.11
github-api,1.95
structs,1.19
git-client,2.8.0
ssh-credentials,1.17
momentjs,1.1.1
workflow-cps-global-lib,2.13
jackson2-api,2.9.9
script-security,1.60
timestamper,1.9
junit,1.28
branch-api,2.5.2
pipeline-milestone-step,1.3.1
jquery-detached,1.2.1
command-launcher,1.3
credentials,2.2.0
workflow-support,3.3
plain-credentials,1.5
workflow-job,2.32
mailer,1.23
pipeline-build-step,2.9
ace-editor,1.1
pipeline-model-api,1.3.9
subversion,2.12.1
pipeline-stage-tags-metadata,1.3.9
build-timeout,1.19
workflow-basic-steps,2.18
token-macro,2.8
antisamy-markup-formatter,1.5
pipeline-model-extensions,1.3.9
scm-api,2.5.1
pipeline-graph-analysis,1.10
github-branch-source,2.5.3
credentials-binding,1.19
git-server,1.7
workflow-durable-task-step,2.31
pipeline-github-lib,1.0
git,3.10.0
apache-httpcomponents-client-4-api,4.5.5-3.0
github,1.29.4
workflow-multibranch,2.21
handlebars,1.1.1
docker-workflow,1.18
lockable-resources,2.5
workflow-step-api,2.20
matrix-project,1.14
pipeline-stage-step,2.3
docker-commons,1.15
pipeline-rest-api,2.11
pam-auth,1.5.1
